"Label" "CalYrBP" "LonDD" "LatDD" "Abies" "Abies_perc"
"UQUAT" 6000 14.39066667 37.90083333 0 0
"UQUAT" 6500 14.39066667 37.90083333 0 0
"UQUAT" 7000 14.39066667 37.90083333 0 0
"UQUAT" 7500 14.39066667 37.90083333 0 0
"UQUAT" 8000 14.39066667 37.90083333 0 0
"UQUAT" 8500 14.39066667 37.90083333 0 0
"UQUAT" 9000 14.39066667 37.90083333 0 0
"UQUAT" 9500 14.39066667 37.90083333 0 0
"UQUAT" 10000 14.39066667 37.90083333 0 0
"UQUAT" 10500 14.39066667 37.90083333 0 0
"CANAD" 500 -2.69 38.06 0 0
"CANAD" 1000 -2.69 38.06 0 0
"CANAD" 1500 -2.69 38.06 0 0
"CANAD" 2000 -2.69 38.06 0 0
"CANAD" 2500 -2.69 38.06 0 0
"CANAD" 3000 -2.69 38.06 0 0
"CANAD" 3500 -2.69 38.06 0 0
"CANAD" 4000 -2.69 38.06 0 0
"CANAD" 4500 -2.69 38.06 0 0
"CANAD" 5500 -2.69 38.06 0 0
"CANAD" 6500 -2.69 38.06 0 0
"CANAD" 7500 -2.69 38.06 0 0
"CANAD" 8000 -2.69 38.06 0 0
"CANAD" 8500 -2.69 38.06 0 0
"CANAD" 9000 -2.69 38.06 0 0
"CANAD" 9500 -2.69 38.06 0 0
"SILES" 500 -2.5 38.4 0 0
"SILES" 1000 -2.5 38.4 0 0
"SILES" 1500 -2.5 38.4 0 0
"SILES" 2000 -2.5 38.4 0 0
"SILES" 2500 -2.5 38.4 0 0
"SILES" 3000 -2.5 38.4 0 0
"SILES" 3500 -2.5 38.4 0 0
"SILES" 4000 -2.5 38.4 0 0
"SILES" 4500 -2.5 38.4 0 0
"SILES" 5000 -2.5 38.4 0 0
"SILES" 5500 -2.5 38.4 0 0
"SILES" 6000 -2.5 38.4 0 0
"SILES" 6500 -2.5 38.4 0 0
"SILES" 7000 -2.5 38.4 0 0
"SILES" 7500 -2.5 38.4 0 0
"SILES" 8000 -2.5 38.4 0 0
"SILES" 8500 -2.5 38.4 0 0
"SILES" 9000 -2.5 38.4 0 0
"SILES" 9500 -2.5 38.4 0 0
"SILES" 10000 -2.5 38.4 0 0
"SILES" 10500 -2.5 38.4 0 0
"SILES" 11000 -2.5 38.4 0 0
"SILES" 11500 -2.5 38.4 0 0
"SILES" 12000 -2.5 38.4 0 0
"SILES" 12500 -2.5 38.4 0 0
"SILES" 13000 -2.5 38.4 0 0
"SILES" 13500 -2.5 38.4 0 0
"SILES" 14000 -2.5 38.4 0 0
"SILES" 14500 -2.5 38.4 0 0
"SILES" 15500 -2.5 38.4 0 0
"SILES" 16000 -2.5 38.4 0 0
"SILES" 16500 -2.5 38.4 0 0
"SILES" 17000 -2.5 38.4 0 0
"SILES" 17500 -2.5 38.4 0 0
"SILES" 18000 -2.5 38.4 0 0
"SILES" 19000 -2.5 38.4 0 0
"SILES" 19500 -2.5 38.4 0 0
"SILES" 20000 -2.5 38.4 0 0
"KOPAI" 2500 23.066667 38.483333 0 0
"KOPAI" 3000 23.066667 38.483333 0 0
"KOPAI" 3500 23.066667 38.483333 0 0
