Depth;Sample;Calendar years BP;Pollen sum;Abies;Acer;Achillea/Anthemis-type;Agrostemma githago;Allium-type;Alnus;Amaranthaceae;Anagallis arvensis;Anagallis tenella;Anemone nemorosa-type;Angiospermae undiff. (herbs);Apiaceae undiff.;Armeria;Artemisia;Asphodelus-type;Asteraceae undiff.;Betula;Bistorta officinalis-type;Boraginaceae undiff.;Brassicaceae;Bryophyta undiff.;Bupleurum-type;Buxus;Calligonum-type;Campanulaceae;Carpinus betulus;Caryophyllaceae undiff.;Castanea;Cedrus;Celtis;Centaurea cf. C. cyanus/montana-type;Centaurea scabiosa;Centaurea solstitialis-type;Cichorioideae;Cirsium;Clusiaceae/Hypericaceae cf. Hypericum;Consolida ambigua-type;Cornaceae;Corylus;Cupressaceae-type;Cyperaceae undiff.;Digitalis-type;Dipsacoideae;Echium-type;Ephedra distachya;Ephedra fragilis-type;Epilobium;Ericaceae;Euonymus europaeus;Fabaceae undiff.;Fagus;Filipendula;Fraxinus excelsior-type;Fraxinus ornus;Fraxinus undiff.;Fritillaria-type;Fumana;Galium-type;Geranium;Hedera;Helianthemum;Helleborus foetidus;Helleborus viridis;Hippophaë;Humulus/Cannabis;Ilex;Indeterminable (broken);Indeterminable (concealed);Indeterminable (crumpled);Indeterminable (degraded);Juglans;Larix;Liliaceae;Linum;Lithospermum;Lonicera;Lotus;Malvaceae undiff.;Marrubium-type;Mentha-type;Menyanthes;Olea;Ononis;Ostrya;Oxyria-type;Papaveraceae;Pedicularis;Persicaria amphibia;Persicaria maculosa-type;Persicaria undiff.;Phillyrea;Picea;Pinus subg. Strobus;Pinus undiff.;Pistacia;Plantago;Poaceae (Cerealia-type);Poaceae undiff.;Populus;Potentilla-type;Poterium sanguisorba;Primulaceae undiff.;Prunus spinosa;Pterocarya;Quercus ilex;Quercus undiff.;Ranunculus;Resedaceae;Rhamnaceae;Rosaceae cf. Geum;Rosaceae undiff.;Rumex;Salix;Sambucus;Sanguisorba officinalis;Saxifragaceae;Scilla-type;Scrophulariaceae;Scutellaria-type;Serratula-type;Solidago-type;Sorbus;Spermatophyta undiff. (trees/shrubs);Tamarix;Taxus;Thalictrum;Thymelaeaceae cf. Daphne;Tilia;Trifolium-type;Ulmus;Urtica-type;Valeriana;Veronica-type;Viburnum;Vicia;Viscum;Vitis;cf. Alchemilla;cf. Androsace;cf. Centaurium;cf. Chrysosplenium;cf. Circaea;cf. Daphne;cf. Epilobium;cf. Euphorbia;cf. Frangula/Bruckenthalia;cf. Helianthemum;cf. Larix;cf. Mentha;cf. Mercurialis;cf. Myrica;cf. Onobrychis-type;cf. Platanus;cf. Rutaceae;cf. Sambucus;cf. Sedum
7427;434916;107673;488;7;;2;;;25;8;;;;;11;;30;;;71;;;2;;;1;;;5;1;;;;;;2;4;;;;;1;;8;;;;1;7;;2;;;7;;;;;;;6;;;1;;;;1;;1;;6;2;;;;;;;;;;;;;;7;;;;;;;;;;29;;;;120;;;;;;;2;104;1;;;;1;1;;;;;;1;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
7436.3;434917;107805;316;2;;;;;11;15;;;;;3;;22;;;33;;;;;;;;;2;;;;;;2;1;1;1;;;1;1;5;7;;;;;3;;;;;7;;;;;;;4;;;;;;;;;;;8;1;;;;;;;;;;;;;;4;;;;;;;;;;31;;;;103;;;;;;;3;39;;;;;;1;1;;;;;;;;;;;;;1;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;
7439;434918;107824;609;13;;3;;;28;8;;;;;13;;46;;;94;;;2;;;1;;;3;8;;;;;;;4;;;;;;1;10;;;;2;12;;;;;6;2;;;;;;5;1;;1;;;;1;;3;;3;4;;;;;;;;;;;;;;14;;;;;;;;;;40;;;;155;;;;;;;4;105;;;;;1;2;;;;;;2;;;2;;;;;6;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;
7445.7;434919;107906;471;6;;1;;;12;18;;;;;7;;60;;;44;;;1;;;;;;1;2;;;;;;;2;;;;;1;8;4;;;;2;6;;;;;4;;;;;;;10;;;2;;;;;;3;;6;;;;;;;;;;;;;;;5;;;;;;;;1;;26;;;;170;;;;;;;1;55;1;;;;;1;;;;;1;;;;;;;;;6;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;
7455.8;434920;107988;371;12;1;1;;;15;12;;;;;1;;40;;;26;;;3;;;;;;2;1;;;;;;;3;1;;;;;2;;;;;;4;;1;;;5;1;;;1;;;6;1;;;;;;;;3;;5;4;;;;;;;;;;;;;;14;;;;;;;;1;;29;;1;;93;;;;;;;5;69;;;;;;1;;;;1;;;;;;;;;;;;;;4;;;1;;;;1;;;;;;;;;;;;;;;;;;;
7460.5;434921;108039;412;2;;3;;;8;12;;;;;4;;46;;;62;;;1;;;;;;2;3;;;;;;1;4;;;;;;1;8;;;;1;6;;;;;1;;;;;;;4;;;;;;;;;4;;3;5;;;;;;;;;;;;;;3;;;;;;;;;;26;;2;;101;;;;;;;1;92;;;;;;1;;;;1;;;;;;;;;;1;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;
7464.1;434922;108058;470;9;;4;;;9;13;;;;;5;;69;;;56;;;2;;;;;;2;4;1;;;;;;3;;;;;1;1;13;;;;2;5;;;;;5;;;;;;;4;;;;;;;;;4;;8;4;;;;;;;;;;;;;;5;;;;;;;;;;19;;2;;107;;;;;;;2;105;;;;;;1;;;;;;;;;;;;;;;;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;
7477.1;434923;108127;434;10;1;5;;;29;7;;;;;6;;49;;;10;;;2;;;1;;;5;8;;;;;;;2;1;;;;1;;7;;;;1;3;;1;;;4;;;;;;;12;;1;;;;;;;1;;5;;;;;;;;;;;;;;;7;;;;;;;;;;27;;2;;126;1;1;;;;;5;84;;;;;;1;;;;;;;;;1;;;;;;;1;;2;;;4;;;;;;;;;;;;;;;;;;;;;;;
7480.9;434924;108148;348;28;4;5;;;45;4;;;1;;6;;27;;;13;;;3;;;;;;3;2;;;;;;;4;;;;;;2;4;;;;;;;;;;5;;;;2;;;2;;;;;;;;1;2;;5;1;;;;;1;;;;;;;;;12;;;;;;;;;;8;;;;50;;;;;;;5;91;;;;;;1;;;;;;;;;3;;;;;1;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
7482;434925;108148.1;210;19;;2;;;22;3;;;;;1;;19;;;11;;;;;;;;;8;;;;;;;;6;1;;;;;2;1;;;;;;;;;;5;;;;1;;;;;;;;;;;;2;2;6;2;;;;;;;;;;;;;;7;;;;;;;;;;2;;;;20;;;;;;;9;50;;;;;;;;;;;;;;;2;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
7495.3;434926;108166;513;17;1;3;;;63;5;;;;;11;;29;;;13;;;6;;;;;;18;3;;;;;;1;2;1;;;;2;3;5;;;;1;5;;1;;;10;;;;;;;5;;;;;;;;1;2;;4;1;;;;;;;;;;;;1;;17;;;;;;;;;;19;;;;103;1;;;;;;1;140;;;;;;1;;;;;;;;;2;;;;;;;2;;12;;;;;;;1;;;;;;;;;;;;;;;;;;;
7733;434927;108425;599;22;1;3;;;65;7;;;;;11;;60;;;7;;;2;;;2;;;5;3;;;;1;1;;4;;;;;2;2;6;;;;2;6;;;;;4;;;;;;;11;;;;;;;;;3;;2;;;;;;;;;;;;;;;21;;;;;;;;;;18;;;;142;1;;;;;;4;163;;;;;1;2;2;;;;;;;;1;;;;;3;;2;;6;;;;;;;;;;;;;;;;;;;;1;;;;;;
7753.6;434928;108425.1;325;14;;2;;;33;1;;;;;3;;28;;;11;;;1;;;1;;;7;5;;;;;;;;;;;;1;1;2;;;;;1;;;;;2;;;;;;;5;;1;;;;;;1;1;;5;1;;;;;;;;;;;;;;7;;;;;;;;;;15;;1;;71;;;;;;;1;100;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
7772.3;434929;108425.2;515;25;1;7;;;44;4;;;;;11;;49;;;16;;;7;;;;;;7;1;;;;;;2;1;;;;;;2;5;;;;1;2;;1;;;3;;;;;;;10;;1;;;;;;;2;;5;1;;;;;;;;;;;;1;;8;;;;;;;;;;32;;;;141;;;;;;;1;106;;;;;;1;2;;;;;;;;3;;;;;4;;;;6;;;2;;;;;;;;;;;;;;;;;;;;;;;
7780.7;434930;108425.3;416;17;1;3;;;25;17;;;;;11;;34;;;18;;;2;;;;;;9;;;;;;;;4;;;;;;4;5;;;;1;2;;;;;4;;;;;;;10;;1;;;;;;;;;1;2;;;;;;;;;;;;1;;10;;;;;;;1;;;32;1;1;;98;;;;;;;4;80;;;1;;1;1;1;;;;1;2;;;2;;;;;2;;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
7788;434931;108440;448;13;1;2;;;13;10;;;;;12;;45;;;17;;;2;;;;;;1;6;;;;;;2;3;1;;;;;2;10;;;;;7;;;;;6;;;;;;;11;;;;;;;;;8;;12;2;;;;;;;;;;;;;;1;;;;;;;;;;41;;;;149;;;;;;;;51;6;;;;;;1;;;1;2;;;;1;;;;;2;;;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;
7792.2;434932;108454;613;9;;;;;26;4;;;;;8;;7;1;;2;;;;;;1;;;34;6;;;;;;;;;;;;3;1;3;;;;;1;;2;;;5;1;;;1;;;;;;;;;;;;3;;3;1;1;;;;;;;;;;;2;;61;;;;;;;1;;;17;;2;;46;;;;;;;17;308;1;;;;;3;1;3;;;;2;;;3;;;;;4;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;
7796.5;434933;108468;446;19;;6;;;18;13;;;;;10;;52;;;24;;;1;;;;;;2;5;;;;;;5;8;1;;;;3;2;4;;;;1;9;;;;;8;;;;;;;4;;1;;;;;;;3;;4;3;;;;;;;;;;;;;;4;;;;;;;;;;33;;2;;106;;1;;;;;3;84;;;;;;;;;;;;;;;3;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
7798;434934;108491;338;9;1;3;;;14;7;;;;;5;;51;;;21;;;1;;;;;;;1;;;;;;1;;1;;;;;7;2;;;;;2;;;;;4;;;;;;;5;;;;;;;;;5;;5;3;;;;;;;;;;;;;;2;;;;;;;1;;;21;;;;123;;;;;;;;33;1;;;;1;;;;;;;;;;1;;;;;2;;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
7807.5;434935;108491.1;542;30;;1;;;26;4;;;;;2;;34;;;10;;;2;;;1;;;4;18;;;;;;1;2;1;;;;;;5;;;;1;2;;1;;;4;;;;;;;7;;;2;;;1;;;1;;6;6;;;;;;;;;;;;;;10;;;;1;;;;;;50;1;;;185;;;;;;;1;108;2;;;;;1;;;;;;;;;1;;;1;;1;;;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;
7811.9;434936;108543;585;30;2;;;;49;12;;;;;9;;49;;;22;;;1;;;;;;5;9;;;;;;2;2;1;;;;;2;2;;;;1;3;;;;;3;;;;1;;;9;;;;;;;;;4;;5;2;;;;;;;;;;;;;;16;;;;;;;;;;45;;;;111;;;;;;;3;169;2;;;;;;;;;;1;;;;;;;;;2;;4;;5;;;1;;;;;;;;;;;;;;;;;1;;;;;;
7814.8;434937;108566;222;6;1;1;;;13;2;;;;;3;;27;;;10;;;2;;;;;;;;;;;;;;2;1;;;;;1;2;;;;1;2;;;;;2;;;;;;;5;;;;;;;;;2;1;8;2;;;;;;;;;;;;;;6;;;;;;;;;;23;;1;;41;;;;;;;4;48;;;;;;1;;;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
7819;434938;108610;427;41;;2;;;57;5;;;;;;;47;;;13;;;1;;2;;;;4;3;;;;;;;1;;;;;2;;4;;;;5;3;;;;;6;;;;;;;5;;;;;;;;;7;;6;3;;;;;;;;;;;;;;5;;;;;;;2;;;30;;;;93;;;1;;;;5;66;;;;;;1;;;;;;;;;;;;;;1;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
7822.3;434939;108677;504;16;2;2;;;32;17;;;;;9;;46;;;44;;;1;;;2;;;10;4;;;;;;1;2;;;;;1;4;;;;;;4;;1;;;4;;;;;;;9;;;1;;;;;;2;1;5;3;;;;;;;;;;;;;;8;;;;;;;;;;33;;;;132;;;;;;;2;94;3;;;;;;1;;;1;1;;;;;;;;;1;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
7827;434940;108757;404;10;;3;;;25;14;;;;;13;;51;;;22;;;3;;;;;;7;2;;;;;;;6;;;;;;3;2;;;;;4;;;;;2;;;;;;;9;;1;;;;;;;3;;5;3;;;;;1;;;;;;;1;;4;;;;;;;;;;19;;1;;129;;;;;;;;55;1;;;;1;;;;;;;;;;1;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
7829.6;434941;108824;449;16;;7;;;49;11;;;;;5;;35;;;20;;;1;;2;;;;3;2;;;;;1;1;3;;;;;1;2;1;;;;1;2;;;;;10;;;;;;;2;;;;;;;1;;4;;4;3;;;;;;;;;;;;;;3;;;;;;;;2;;28;;;;117;;;;;;;3;99;1;;;;;;;1;;;;;;;;;;;1;1;;;;4;1;;;;;;;;;;;;;1;;;;;;;;;;;;
7832.2;434942;108824.1;635;57;1;6;;;79;6;;;;;6;;40;;;33;;;6;;;;;;7;5;;;;;;;5;1;;;;;2;2;;;;1;2;;2;;;1;;;;;;;7;;;;;;;2;;2;;3;;;;;;;;;;;;;1;;16;;;;;;;;1;;33;;1;;139;;;;;;;4;144;1;;;;;1;;;;;1;;;;1;;;;;3;;2;;10;1;;;;;;;;;;;;;;;;;;;;;;;;;
7853.9;434943;108972;389;8;2;1;;;21;7;;;;;8;;38;;;19;;;2;;;;;;5;3;;;;;;1;;1;;;;3;3;3;;;;;1;;;;;3;;;;;;;1;;;;;;;;;1;;6;1;;;;;;;;;;;;;;4;;;;;;;;;;23;2;;;62;;1;;;;;4;148;1;;;;;1;1;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
7862.5;434944;109025;509;8;;;;;25;20;;;;;4;;78;;;26;;;4;;;;;;4;5;1;;;;;1;3;1;;;;;;2;;;;1;1;;2;;;2;;;;;;;15;;;3;;;;;;5;1;4;2;;;;;;;;;;;;;;11;;;;;;;;;;23;;;;125;;;;;;;5;112;1;;;;2;;1;1;;;;;;;2;;;;;;;;;7;;;;;1;;;;;;;;;;;;;;;;;;;;;
7869.8;434945;109041;369;20;;3;;;94;9;;;;;3;;21;;;28;;;;;;;;;7;;;;;;;1;;;;;;1;2;3;;;;2;2;;;;;2;;;;;;;3;;1;;;;;;;1;;9;4;;;;;;;;;;;;;;9;;;;;;;;1;;18;;;;45;;;;;;;14;59;;;;;;;;;;;;;;;1;;;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
7872.1;434946;109052;633;41;;;;;63;3;;;;;2;;15;1;;22;;;4;;;;;;17;4;;;;;;;;;;;;;1;1;;;;;;;4;;;9;;;;;;;2;;;;;;;;1;2;;6;1;;;;;;;;;;;;;;37;;;;;;;1;;;20;;4;;54;;;;;;;5;291;;;;;;1;;;;;;;;;1;;;;;1;;3;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;
7876.7;434947;109064;536;17;;4;;;68;6;;;;;14;;64;;;58;;;;;;;;;7;;;;;;;3;1;;;;;;;1;;;;1;;;;;;8;;;;1;;;11;;1;;;;;;;;;3;2;;;;;;;;;;;;;;1;;;;;;;1;;;17;1;;;128;;1;;;;;4;101;1;;;;1;;2;;;;;;;;;;;;;1;;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
7879.2;434948;109070;451;38;;3;;;76;11;;;;;;;30;;;21;;;2;;;;;1;2;;;;;;;1;1;2;;;;;1;2;;;;;1;;;;;2;;;;;;;4;;2;;;;;;;2;;2;1;;;;;;;;;;;;;;9;;;;;;;;2;;29;;;;104;;;;;;;4;83;1;;;;;;;;;;;;;;1;;;;;1;;1;;9;2;;;;;;;;;;;;;;;;;;;;;;;;;
7890.8;434949;109105;403;42;;5;;;68;2;;;;;1;;23;;;25;;;1;;;1;;;6;1;;;;;;2;3;;;;;1;1;3;;;;1;;;;;;;;;;;;;11;;;1;;;;;;2;1;4;2;;;;;;;;;;;;;;5;;;;;;;;;;11;;;;66;;;;;;;2;104;1;;;;;;1;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
7893.1;434950;109116;654;20;;3;;;91;8;;;;;8;;62;;;50;;;6;;;;;;18;3;;;;;;1;3;1;1;;;1;;3;;;;2;3;;1;;;9;;;;;;;8;;1;;;;;;;;;6;2;;;;;;;;;;;;;;14;;;;;;;1;;;19;;;;107;;;;;;;1;178;;;1;;;;1;;;;;;;;2;;;;;;;5;;13;1;;;;;;;;;;;;;;;;;;;;;;;;;
7901.4;434951;109144;271;34;;2;;;45;1;;;;;;;13;;;21;;;;;;;;;7;;;;;;;;1;;;;;;1;1;;;;;;;;;;3;;;;;;;1;;;;;;;;1;2;;7;2;;;;;;;;;;;;;;5;;;;;;;;2;;7;;1;;30;;;;;;;9;67;;;;;1;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
7906.5;434952;109159;448;176;1;1;;;50;;;;;;;;8;;;8;;;1;;;;;;8;1;;;;;;3;1;;;;;1;;1;;;;;;;1;;;13;;;;;;;;;;;;;;;;5;;1;2;;;;;;;;;;;;;;2;;;;;;;;2;;19;;;;24;;;;;;;2;98;;;;;;;2;;;;;;;;;;;;;;;2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
7908.3;434953;109161;340;36;1;2;;;67;3;;;;;1;;15;;;20;;;2;;;1;;;4;;;;;;;1;;;;;;3;2;;;;;;1;;4;;;1;;;;;;;2;;;;;;;;;1;;2;1;;;;;;;;;;;;;;6;;;;;;;1;;;13;;1;;53;;;;;;;10;74;;;;;;1;;;;;;;;;;;;;;;;3;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
7910.8;434954;109172;461;39;1;1;;;124;2;;;;;1;;10;;;18;;;1;;;;;;8;2;;;;;;2;;;;;;;3;;;;;1;;;1;;;6;1;;;;;;;;1;;;;;1;;;;5;3;;;;;;;;;;;;1;;7;;;;;;;;;;17;;;;54;;;;;;;6;131;1;;;;;;;;;;;1;;;;;;;;;;2;;9;;;;;;;;;;;;;;;;;;;;1;;;;;;
7912.5;434955;109174;565;54;2;;;;90;3;;;;;5;;12;;;26;;;1;;;;;;16;4;;;;;;;1;;;;;;4;3;;;;;2;;1;;;13;;;;;;;1;;1;;;;;1;1;1;1;4;;;;;;;;;;;;;;;18;;;;;;;;;;18;;2;;38;;;;;;;10;202;;;;;;1;;;;;;;;;1;;;;;;;5;;21;2;;;;;;;;;;;;;;;;;;;;;;;;;
7931.5;434956;109228;399;51;2;3;;;91;;;;;;5;;21;1;;20;;;3;;;;;;3;3;1;;;;1;;2;1;;;;;1;2;;;;;2;;1;;;7;;;;;;;;;2;;;;;;;3;;8;2;;;;;;;;;;;;;;13;;;;;1;;;;;21;;2;;36;;;;;;;3;77;;;;;;2;2;;;;;;;;;;;;;1;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
7934.4;434957;109237;389;97;1;1;;;76;3;;;;;1;;10;;;13;;;1;;;;;;3;1;;;;;;1;;;;;;1;;;;;;1;;;;;;7;;;;;;;2;;;;;;;1;;;;1;1;;;;;;;;;;;;;;2;;;;;;;;;;9;1;;;48;;;;;;;2;96;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
7941;434958;109266;185;39;;;;;32;;;;;;1;;6;;;9;;;;;;;;;2;1;;;;;;;1;;;;;;2;1;;;;;;;1;;;7;;;;;;;;;;;;;;;;3;;5;1;;;;;;;;;;;;1;;3;;;;;;;;;;5;;;;14;;;;;;;2;45;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;
7941.1;434959;109267;592;62;;2;;;113;5;;;;;11;;51;;;48;;;2;;;;;;7;;;;;;;1;;;;;;;1;1;;;;;;;2;;;1;;;;;;;8;;2;;;;;;;1;;3;6;;;;;;;;;;;;1;;17;;;;;;;;;;20;;1;;84;;;;;;;2;125;;;;;;;1;;;;;;;;2;;;;;1;;2;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
7944.4;434960;109274;172;20;;2;;;26;4;;;;;1;;8;;;6;;;;;;;;;5;2;;;;;;1;;;;;;1;4;;;;;;;;;;;2;;;;;;;1;1;;;;;;;;3;1;3;1;;;;;;;;;;;;;;4;;;;;;;;;;11;;;;31;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
7950.7;434961;109308;185;25;1;;;;33;3;;;;;;;6;;;15;;;;;1;1;;;2;1;;;;;;1;2;;;;;;2;1;;;;;1;;;;;4;;;;;;;2;;;2;;;;;;;;5;1;;;;;;;;;;;;;;4;;;;;;;;;;6;;;;34;;;;;;;;29;;;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
7953.1;434962;109328;554;62;1;4;;;80;8;;;;;7;;42;;;42;;;4;;;;;;6;10;;;;;;;6;1;;;;1;4;;;;;3;2;;;;;13;;;;;;;17;;;;;;;;;3;;6;;;;;;;;;;;;;;;5;;;;;;;1;1;;34;;;;71;;;;;;;;100;2;;;;;1;1;;;;;;;;;;;;;3;;2;;8;1;;2;;;;;;;;;;;;;;;;;;;;;;;
7959.3;434963;109368;183;17;;1;;;17;2;;;;;3;;9;;;19;;;1;;;;;;4;1;;;;;;;1;;;;;;;;;;;;1;;;;;4;;;;;;;2;;;1;;;;;;1;;3;1;;;;;;;;;;;;;;5;;;;;;;;;;11;;;;31;;;;;;;;41;;;;;1;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
7967.5;434964;109412;326;90;2;2;;;36;1;;;;;3;;5;;;11;;;;;;;;;5;;;;;;;2;;;;;;;1;;;;;;;;1;;;3;;;;;;;1;;1;;;;;;1;1;;5;3;;;;;;;;;;;;;;8;;;;;;;;2;;7;1;1;;22;;;;;;;;102;;;;;;;;;;;;;;;1;;;;;;;1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
7972.4;434965;109412.1;477;123;2;;;;58;1;;;;;5;;15;;;16;;;1;;;1;;;8;2;;;;;;;2;;;;;;1;;;;;;;;;;;13;1;;;;;;;;1;;;;;;2;5;;5;2;;;;;;;;;;;;2;;11;;;;;;;;2;;23;;1;;23;;;;;;;1;132;;;;;;;1;1;;;;;;;1;;;;;1;;2;;10;1;;;;1;;;;;;;;;;;;;;;;;;;;;
7973;434966;109412.2;480;97;1;;;;80;2;;;;;;;6;;;15;;;1;;;2;;;14;;;;;;;;;;;;;2;1;;;;;;;;1;;;9;;;;1;;;;;2;;;;;;;2;;4;;;;;;;;;;;;;;;10;;;;;;;;2;;21;;;;32;;;;;;;10;147;1;;;;;;1;;;;;;;;;;;;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;;;
7983.5;434967;109421;650;83;2;1;;;90;5;;;;;1;;13;;;32;;;;;;;;;13;4;;;;;;;3;;;;;1;1;3;;;;;;;;;;25;;;;2;;;4;;2;;;;;;;5;;9;1;;;;;;1;;;;;;;;32;;;;;;;;2;;24;;;;43;;;;;;;3;213;;;;;;;3;;;;;;;;1;;;;;1;;7;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
7998;434968;109559;522;78;;7;;;115;6;;;;;6;;31;;;54;;;2;;;;;;5;1;;;;;;;1;;;;;1;;;;;;;5;;;;;15;;;;;;;4;;;;;;;;;2;;;1;;;;;;;;;;;;;;2;;;;;;;;2;;9;;;;77;;;;;;;2;81;;;;;;1;1;;;;;;;;;;;;;;;2;;8;2;;;;1;;;;;;;;;;;;;;;;;;;;;
8000.5;434969;109807;598;158;1;;;;109;;;;;;5;;18;;;31;;;1;;;;;;3;2;;;;;;1;1;;;;1;1;;;;;;;;;1;;;19;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;25;;1;;29;;;;;;;3;164;;;;;1;;;;;;;;;;;;;;;;;4;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
8010;434970;110208;390;38;;;;;47;;;;;;4;;12;;;16;;;1;;;3;;;4;3;;;;;;1;1;;;;;2;1;;;;;1;;;1;;;13;1;;;;;;2;;;;;;;;;4;;2;3;;;;;;;;;;;;;;5;;;;;;;;;;12;;;;22;;;;;;;2;171;;;;;;;2;;;;;;;;;;;;;1;;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
8019;434971;110433;460;25;;3;;;38;15;;;;;5;;36;;;5;;;4;;;2;;;7;11;;;;;;;;;;;;5;9;;;;;;;;;;;32;1;;;;;;2;;;4;;;1;;1;;;1;;;;;;;;;;;;1;1;;15;;;;;;;1;;;17;;4;;72;;;;;;;8;115;;;;;1;;;1;;;;1;;;1;;;;;;;2;;12;;;;;;;;;1;;;;;;;;;;;;;;;;;
8023.9;434972;110434;626;144;;1;;;102;1;;;;;;;16;;;31;;;2;;;6;;;8;2;;;;;;;;;;;;;2;;;;;1;;;1;;;14;1;;;1;;;;;1;;;;;2;;4;1;5;6;;;;;;;;;;;;;;8;;;;;;;;;;14;;;;35;;;;;;;4;194;;;;;;3;;;;;;;;;;;;;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;;;
8028.9;434973;110467;396;91;2;;;;62;;;;;;3;;6;;;3;;;;;;;;;6;;;;;;;;;;;;;;;1;;;;;;;;;;30;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;11;;1;;11;;;;;;;2;153;;;;;;;;;;;;;;;1;;;;;;;1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
8037;434974;110527;382;150;2;;;;44;2;;;;;1;;5;;;7;;;;;;;;;7;;;;;;;;2;;;;;;4;1;;;;;1;;;;;4;;;;1;;;;;;;;;;;1;;;3;8;;;;;2;;;;;;;;;;;;;;;;;;;18;;1;;18;;;;;;;3;84;;;;;;1;1;;;;;1;;;;;;;1;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;1
8038.3;434975;110717;499;48;2;1;;;94;3;;;;;2;;16;;;27;;;2;;;1;;;18;;;;;;;;1;;;;;1;;5;;;;1;;;;;;22;;;;;;;1;;1;;;;;;;2;;1;3;;;;;;;;;;;;;;8;;;;;;;;1;;22;;1;;24;;;;;;;6;167;;;;;;;;1;;1;;;;;1;;;;1;;;;;13;1;;;;;;;;;;;;;;;;;;;;;;;;;
8043.3;434976;111135;543;188;3;;;;90;2;;;;;5;;4;;;17;;;;;;2;;;7;2;;;;;;;2;;;;;1;1;2;;;;;;;1;;;21;;;;2;;;2;;1;;;;;;1;1;;;;;;;;;;;;;;;1;;5;;;;;;;;;;14;;;;20;;;;;;;3;129;;;;;;;1;;;;;;;;;;;;;;;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;
8050.9;434977;111135.1;450;132;1;;;;82;;;;;;3;;8;;;12;;;;;;2;;;7;;;;;;;;;;;;;;;2;;;;;;;1;;;29;;;;2;;;2;;;;;;;;1;1;;1;6;;;;;;;;;;;;1;;6;;;;;;;;2;;11;;;;9;;;;;;;;95;;;;;;1;;;;;;;;;;;;;;2;;2;;29;;;;;;;;;;;;;;;;;;;;;;;;;;
