Fraxinus,TRSH,pollen,NISP,,2,3,2,4,1,1,2,3,3,6,2,3,3,4,5,6,8,,13,11,5,7,4,9,4,2,3,4,5,,,6,1,5,6,15,6,9,13,7,4,10,5,8,39,62,23,17,23,25,30,19,22,23,32,34,32,31,20,8,21,21,19,9,1,,2,1,,3,2,,2,,,,,,,,,,,,,,,,
Hedera helix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,2,2,5,1,,,,,,1,6,6,1,2,,3,3,2,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,
Hippophaë,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilex aquifolium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,25,24,94,51,69,54,24,13,8,,1,,,,2,,,,3,,,1,1,2,,1,,2,,,1,,4,,,,1,1,1,1,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,11,136,177,241,292,193,257,183,91,280,201,374,43,9
Larix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Lonicera periclymenum,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrica gale,TRSH,pollen,NISP,,,,7,1,1,,3,1,14,,,1,1,2,,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,4,3,2,,2,1,1,1,4,1,2,2,2,1,1,1,3,1,1,1,2,1,2,,1,1,1,1,1,1,,,,,,1,2,1,4,2,2,2,3,,1,3,1,1,3,2,2,,3,,3,1,2,1,1,2,3,2,1,,,3,,,,,,,,,,,1,,,,2,1,,,,1,2,,
Pinus,TRSH,pollen,NISP,,377,264,245,279,201,170,154,165,247,155,212,205,153,262,252,264,286,255,231,331,369,227,211,170,194,180,225,166,249,210,240,339,359,347,323,306,246,185,235,232,256,241,242,143,206,189,101,110,104,94,183,119,179,94,110,117,161,312,148,195,215,255,325,540,415,455,401,331,448,577,1083,704,589,615,183,895,466,259,298,352,253,165,96,64,106,110,167,400,150
Populus,TRSH,pollen,NISP,,2,1,,,2,,3,4,5,3,6,4,6,5,2,3,5,3,2,4,4,6,1,2,5,3,2,1,4,9,,5,1,1,3,2,,1,2,,7,2,,1,2,4,2,1,1,4,3,1,2,4,2,9,2,5,4,5,13,14,5,11,8,7,1,4,6,7,28,18,24,29,36,63,7,1,,1,1,,,,,,4,,
Quercus,TRSH,pollen,NISP,,56,36,58,67,68,66,44,46,92,95,197,228,272,216,193,153,91,69,85,79,101,106,190,171,220,171,235,196,274,217,183,205,106,89,104,125,90,77,115,110,115,113,89,70,280,311,232,257,201,221,250,248,340,324,274,294,289,253,188,182,317,272,141,109,71,63,43,90,36,23,32,6,7,,,,,,,,1,,,,,,,,
Rhododendron subsect. Ledum,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,
