"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Cerealia.t","CalYrBP.2"
"192","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/170/--",550,1111.25,20,"170"
"193","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/306/--",593,1202.5,32,"306"
"194","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/629/--",559,1154.5,20,"629"
"195","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/814/--",524,1039.75,4,"814"
"196","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1114/--",555,1116.75,20,"1114"
"197","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1315/--",583,1170,8,"1315"
"198","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2525/--",538,1074,32,"2525"
"199","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3260/--",550,1120,24,"3260"
"200","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3789/--",762,1507.5,4,"3789"
"201","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4078/--",542,1087.75,12,"4078"
"202","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4341/--",671,1338.25,4,"4341"
"203","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5480/--",629,1252.25,4,"5480"
"204","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5562/--",544,1132.25,80,"5562"
"205","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6380/--",549,1143.5,68,"6380"
"206","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6814/--",572,1164.5,36,"6814"
"207","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7507/--",641,1263.5,4,"7507"
"208","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7534/--",549,1078.75,0,"7534"
"209","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7685/--",556,1097,4,"7685"
"210","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7630/--",599,1176.25,0,"7630"
"211","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7754/--",619,1239,8,"7754"
"212","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7808/--",503,1008.25,4,"7808"
"213","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/71/--",550,1096,96,"71"
"214","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/490/--",578,1188.75,24,"490"
"215","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1045/--",553,1122,20,"1045"
"216","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2169/--",543,1080.25,20,"2169"
"217","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3681/--",619,1229.25,0,"3681"
"218","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4695/--",557,1117,16,"4695"
"219","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6053/--",630,1247.5,4,"6053"
"220","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7493/--",594,1181.25,4,"7493"
"221","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7644/--",517,1037.5,12,"7644"
"222","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7770/--",565,1124,0,"7770"
"223","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/-45/--",524,1016.75,44,"-45"
"224","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/137/--",537,1094.25,20,"137"
"225","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/583/--",551,1117,28,"583"
"226","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1091/--",562,1129,12,"1091"
"227","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1991/--",572,1144.5,12,"1991"
"228","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2882/--",571,1129.25,28,"2882"
"229","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3594/--",579,1153.25,16,"3594"
"230","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3811/--",530,1058.75,12,"3811"
"231","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5120/--",586,1160.25,8,"5120"
"232","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/6216/--",511,1027,16,"6216"
"233","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7343/--",606,1229.5,12,"7343"
"234","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7548/--",574,1143,4,"7548"
"235","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7671/--",539,1073.25,8,"7671"
"236","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7762/--",601,1198.75,4,"7762"
"237","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/54/--",538,1099.5,60,"54"
"238","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/352/--",558,1128.75,12,"352"
"239","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/860/--",526,1061.5,12,"860"
"240","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1635/--",574,1166.5,44,"1635"
"241","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3486/--",557,1113.5,4,"3486"
"242","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4978/--",547,1082.75,12,"4978"
"243","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5758/--",653,1319.25,0,"5758"
"244","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7480/--",680,1350.75,4,"7480"
"245","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7616/--",642,1269.75,0,"7616"
"246","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7739/--",540,1077.75,12,"7739"
"247","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/37/--",560,1073,32,"37"
"248","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/120/--",589,1241.5,52,"120"
"249","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/537/--",556,1138.75,36,"537"
"250","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/998/--",544,1108.75,20,"998"
"251","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/1457/--",547,1122.25,16,"1457"
"252","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/2704/--",710,1413.75,12,"2704"
"253","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/3703/--",526,1040,8,"3703"
"254","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/4166/--",536,1062.75,12,"4166"
"255","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5403/--",550,1076.5,4,"5403"
"256","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/5889/--",522,1043,24,"5889"
"257","BARA","Baratz","Italy","Mb",8.22551,40.68089,"--/7182/--",578,1177.5,28,"7182"
