"name","group","element","units","context","S349158","S349159","S349160","S349161","S349162","S349163","S349164","S349165","S349166","S349167","S349168","S349169","S349170","S349171","S349172","S349173","S349174","S349175","S349176","S349177","S349178","S349179","S349180","S349181","S349182","S349183","S349184","S349185","S349186","S349187","S349188","S349189","S349190","S349191","S349192","S349193","S349194","S349195","S349196","S349197","S349198","S349199","S349200","S349201","S349202","S349203","S349204","S349205","S349206","S349207","S349208","S349209","S349210","S349211","S349212","S349213","S349214","S349215","S349216","S349217","S349218","S349219","S349220","S349221","S349222","S349223","S349224","S349225","S349226","S349227","S349228","S349229","S349230"
Erica-type,TRSH,pollen,NISP,,22,20,7,36,32,43,34,46,45,44,30,42,26,55,34,32,20,24,15,29,16,21,10,22,22,17,17,21,17,18,10,10,19,21,22,17,17,16,13,14,18,20,11,7,9,7,3,8,12,6,6,7,4,5,7,16,10,9,13,31,37,22,23,21,8,8,4,12,16,18,6,2,2
Erythrina-type,TRSH,pollen,NISP,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,4,1,2,5,3,6,8,8,4,7,4,7,13,14,12,17,17,13,18,12,25,20,31,27,26,23,51,39,34,16,16,42,62,42,67,49,33,42,35,52,45,52,26,25,28,36,19,2,1,2,,1,1,3,2,7,2,3,3,7,7,10,3,1,2,7,4,5,7,2,2,,
Falcaria-type,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frangula,TRSH,pollen,NISP,,1,,,,,,,,,,,2,,,,,1,2,1,1,2,,,2,1,1,,2,2,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Fraxinus excelsior-type,TRSH,pollen,NISP,,,1,1,,1,,,2,2,5,3,2,4,1,3,5,1,4,2,3,3,4,3,8,6,8,5,3,1,3,4,3,3,2,1,,4,2,3,,1,5,3,3,4,8,2,1,2,7,,5,5,8,6,6,5,10,3,18,2,6,2,4,4,5,9,5,7,6,2,,
Fraxinus ornus,TRSH,pollen,NISP,,,,,,,,1,,,,,,,3,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,2,,1,1,,,3,,1,,1,,,,,,,,,,,,,,1,,3,,,,,,
Galium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Gentiana,UPHE,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
