"name","group","element","units","context","S463898","S463908","S463863","S463869","S463876","S463883","S463890","S463917","S463927","S463865","S463874","S463881","S463886","S463897","S463907","S463918","S463867","S463873","S463879","S463889","S463902","S463911","S463921","S463893","S463903","S463913","S463923","S463894","S463905","S463916","S463926","S463895","S463904","S463914","S463925","S463862","S463870","S463880","S463888","S463899","S463910","S463919","S463866","S463872","S463877","S463884","S463892","S463901","S463909","S463920","S463864","S463868","S463875","S463882","S463887","S463896","S463906","S463915","S463924","S463861","S463871","S463878","S463885","S463891","S463900","S463912","S463922"
Lotus-type,UPHE,pollen,NISP,,,,2,,,,,2,,,1,,,,1,,,2,,2,4,1,,1,,3,2,1,2,,,1,,5,,,,,,,,1,1,,,,,,1,,,,,,,,,5,,,,1,,1,3,3,
Lycopodium spike,LABO,counted,number,,68,253,350,151,123,165,183,1072,4606,103,110,195,108,78,135,883,531,195,164,119,63,291,3585,138,74,470,780,268,146,563,2656,149,100,535,5563,379,185,121,244,493,339,756,160,341,85,164,216,82,92,1193,287,151,155,164,242,106,120,843,6433,306,107,43,123,77,67,445,3114
Lycopodium tablets,LABO,concentration,grains/tablet,,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911,13911
Lycopodium tablets,LABO,quantity added,number,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lythrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,
Mentha-type,UPHE,pollen,NISP,,1,2,,,2,,,2,1,1,,3,,2,2,,,5,1,,,2,,1,,,1,,2,2,,,2,,,,4,,2,,,,1,1,3,1,,,,2,,3,,1,1,2,,,,,,1,1,,2,,
Morus,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum alterniflorum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum spicatum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymphaea,AQVP,pollen,NISP,,8,24,7,,1,,,23,15,,,,,7,24,22,2,3,3,5,15,23,10,1,5,31,11,,18,36,8,,3,16,9,,1,,6,7,27,32,,,13,6,,1,40,12,,,,4,1,4,14,29,7,,,,,7,17,37,8
Olea,TRSH,pollen,NISP,,,,,,,,,,,3,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,3,,,,,1,,,,,,,1,,,1,,2,,,,,,,
Ononis-type,UPHE,pollen,NISP,,1,2,2,4,,,,3,3,3,1,,1,4,4,7,3,2,,,7,1,2,8,1,2,2,1,4,1,,9,,1,2,3,8,,,,4,4,3,,2,,1,3,1,1,1,4,1,,,1,1,1,2,3,3,,2,,1,2,
Persicaria amphibia,UPHE,pollen,NISP,,5,2,4,3,5,3,12,2,,,4,4,1,4,2,1,3,6,5,8,14,,1,3,2,1,3,4,2,2,2,11,4,3,,,,,18,5,2,3,,11,1,1,2,1,3,2,1,6,3,5,13,4,1,3,1,1,,,,,5,8,2
Pinus,TRSH,pollen,NISP,,428,242,153,325,481,277,319,326,245,293,163,281,285,210,268,260,210,245,379,291,475,242,194,210,271,369,407,208,221,308,164,140,342,307,186,345,152,394,215,365,333,359,214,352,336,288,383,311,395,255,378,244,380,324,317,322,265,347,302,205,313,311,307,274,387,412,238
Pinus,TRSH,stomate,NISP,,,1,1,1,,1,2,,1,2,,,,,2,,1,1,1,,,,,,,1,,,,1,3,,,,2,,,,1,,2,4,,6,,3,,,,,3,,,2,3,5,,1,,,,2,3,2,5,2,
Plantago coronopus-type,UPHE,pollen,NISP,,1,1,,2,,,,,,,1,,,,1,2,,,,,,1,,1,,,1,,,,,3,1,,,4,,,,,,,3,2,,,,,,1,2,4,,,,,,,,7,,2,,,,,
Plantago lanceolata-type,UPHE,pollen,NISP,,,,,,,,,,7,,,,,,,,,,,,,,,,3,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,3,
