"name","group","element","units","context","S258829","S258830","S258831","S258832","S258833","S258834","S258835","S258836","S258837","S258838","S258839","S258840","S258841","S258842","S258843","S258844","S258845","S258846","S258847","S258848","S258849","S258850","S258851","S258852","S258853","S258854","S258855","S258856","S258857","S258858","S258859","S258860","S258861","S258862","S258863","S258864","S258865","S258866","S258867","S258868","S258869","S258870","S258871","S258872","S258873","S258874","S258875","S258876","S258877","S258878","S258879","S258880","S258881","S258882","S258883","S258884","S258885","S258886","S258887","S258888","S258889","S258890","S258891","S258892","S258893","S258894","S258895","S258896","S258897","S258898","S258899","S258900","S258901","S258902","S258903","S258904","S258905","S258906","S258907","S258908","S258909","S258910","S258911","S258912","S258913","S258914","S258915","S258916","S258917","S258918","S258919","S258920","S258921","S258922","S258923","S258924","S258925","S258926","S258927","S258928","S258929","S258930","S258931","S258932","S258933","S258934","S258935","S258936","S258937","S258938","S258939","S258940","S258941","S258942","S258943","S258944","S258945","S258946","S258947","S258948","S258949","S258950","S258951","S258952","S258953","S258954","S258955","S258956","S258957","S258958","S258959","S258960","S258961","S258962","S258963","S258964","S258965","S258966","S258967","S258968","S258969","S258970","S258971","S258972","S258973","S258974","S258975","S258976","S258977","S258978","S258979","S258980","S258981","S258982","S258983","S258984","S258985","S258986","S258987"
Plantago,UPHE,pollen,NISP,,3,9,5,7,5,2,1,,1,,1,1,,,1,3,,,,,,,,,,,,1,,,,,,,,,2,1,,,,,,1,,,,,,,,1,,,1,1,,,1,,,1,,1,,,1,,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,1,1,,2,,3,7,2,5,2,,2,1,1,,,,,3,,,,,,,,2,,1,,1,1,,1,1,2,3,,1,1,3
Plantago alpina,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata,UPHE,pollen,NISP,,6,6,2,2,5,2,,2,1,,1,1,,1,,2,1,,1,,,,,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,3,,2,,1,1,,5,2,1,,,,2,,,,,,,,,,,,,,,,1,,,,5,,1,
Poaceae,UPHE,pollen,NISP,,62,66,58,48,70,21,4,1,4,1,2,4,5,3,4,3,4,2,2,1,1,3,4,2,3,1,1,,1,1,3,,1,1,,2,4,2,4,1,11,2,1,,1,1,2,1,,1,,9,,2,2,2,1,3,2,3,3,1,,1,3,1,1,2,1,5,,1,,1,1,1,1,1,1,1,1,1,2,7,4,2,3,1,2,1,6,1,6,2,3,7,6,3,2,2,5,5,4,2,4,4,2,6,3,6,10,22,26,33,32,1,86,89,118,91,155,129,143,168,138,168,115,123,131,133,147,152,141,159,103,115,120,160,56,163,126,133,145,155,155,153,122,124,104,135,139,116,151,156,119,132,100,72,72
Poaceae (Cerealia),UPHE,pollen,NISP,,5,5,11,8,17,2,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,2,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiophyta (monolete),VACR,spore,NISP,,1,,,,,,3,,1,,,,,1,,,,1,,,2,,,1,1,,,,1,2,2,1,,,1,,,,,,,,,,,,,,,,,1,,4,1,,,1,,2,15,,,1,2,1,,,,,,,,2,1,37,38,53,15,4,,,3,,,2,,2,2,,,,1,1,,1,,,,1,,,,,,,,,1,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,1,1,,2,,2,,,,,2,,,,,,2,,,,,,
Quercus,TRSH,pollen,NISP,,10,27,6,13,11,20,40,28,12,9,28,20,21,20,18,26,31,15,14,12,4,30,20,22,14,14,16,19,16,13,17,32,18,26,32,28,34,17,10,29,14,19,19,24,11,16,25,11,36,15,19,29,,26,30,23,28,52,26,61,44,75,40,60,70,54,62,50,32,61,23,68,53,44,77,35,12,34,17,36,24,92,102,99,96,48,82,84,55,102,103,124,114,119,118,124,115,94,81,98,89,119,85,84,91,67,79,68,17,71,150,110,95,64,70,30,11,2,2,3,2,1,,,,2,,2,,2,,,,,1,1,1,1,,1,1,,4,,1,,1,,4,1,1,,2,,,,,2,
Ranunculus,UPHE,pollen,NISP,,6,3,2,2,2,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,1,1,1,1,1,,,,1,,1,,2,1,,3,,2,,,2,4,,,1,,2,,2,,10,1,3,,,3,3,3,2,2,,1,2,,,,,,,,,1,,,3,1,1,,,,,1,,,,1,4,5,4,3,4,3,1,1,2,,,3,1,,,1,1,,2,,,,2,,1,,,,,1,,,,1,,1,,,,,,,1,8,,2
Rosaceae,UPHE,pollen,NISP,,10,3,3,4,3,,4,,1,2,,3,1,1,1,3,2,1,3,,,2,2,,1,1,1,1,,4,,3,3,4,2,1,,3,3,3,5,,1,4,,2,5,1,1,2,2,2,2,3,1,2,2,1,2,2,,3,1,3,1,,3,4,5,2,1,,4,4,3,8,2,,4,2,,1,2,2,2,5,6,5,4,4,2,3,7,6,9,6,1,2,2,7,2,2,3,2,3,2,1,2,,,2,4,5,7,7,2,6,5,1,1,1,3,3,,2,1,,,1,2,4,6,7,4,1,,3,2,,,2,3,1,4,3,4,2,,1,2,1,1,6,,,2,4,,2
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,1,,1,1,2,4,2,2,4,,1,3,,1,,3,1,4,,1,,,,,3,9,4,5,2,1,3,2,3,5,4,3,7,3,1,1,2,,
