"name","group","element","units","context","S620864","S620874","S620889","S620898","S620911","S620927","S620944","S620956","S620968","S620867","S620868","S620876","S620877","S620886","S620887","S620896","S620900","S620905","S620916","S620918","S620928","S620929","S620940","S620942","S620947","S620954","S620957","S620965","S620967","S620976","S620865","S620881","S620890","S620897","S620908","S620917","S620923","S620932","S620936","S620948","S620959","S620966","S620975","S620870","S620869","S620878","S620879","S620885","S620888","S620895","S620902","S620907","S620910","S620919","S620922","S620924","S620933","S620934","S620941","S620943","S620951","S620955","S620961","S620964","S620971","S620974","S620872","S620882","S620894","S620904","S620912","S620926","S620939","S620950","S620962","S620972","S620866","S620875","S620884","S620893","S620903","S620906","S620914","S620920","S620930","S620938","S620945","S620953","S620960","S620970","S620871","S620880","S620891","S620901","S620913","S620925","S620937","S620949","S620958","S620969","S620863","S620873","S620883","S620892","S620899","S620909","S620915","S620921","S620931","S620935","S620946","S620952","S620963","S620973"
Carpinus betulus,TRSH,pollen,NISP,,,,,,3,1,,,,,,,,,,,1,2,2,1,,,,,,,1,,,,,,,,1,2,,,2,,1,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,,1,,,,,,1,,1,1,1,,,,,,,,1,,,,,,,,
Carthamus-type,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllaceae undiff.,UPHE,pollen,NISP,,,,2,1,,,,,,3,1,,,,,,,,,,,1,,,,,,,,,1,2,1,,1,,,,,3,,,,,1,,1,,1,,,1,,,,,,,,,,,,,,,3,1,,,,2,,,,,1,,,,,,1,,,,,,,,1,,,,1,,,1,,,1,1,,,,,,,,,2,,,
Castanea,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Centaurea cyanus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
Centaurea nigra-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,
Centaurium,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Centranthus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Cerastium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
