"name","group","element","units","context","S387814","S387815","S387816","S387817","S387818","S387819","S387820","S387821","S387822","S387823","S387824","S387825","S387826","S387827","S387828","S387829","S387830","S387831","S387832","S387833","S387834","S387835","S387836","S387837","S387838","S387839","S387840","S387841","S387842","S387843","S387844","S387845","S387846","S387847","S387848","S387849","S387850","S387851","S387852","S387853","S387854","S387855","S387856","S387857","S387858","S387859","S387860","S387861","S387862","S387863","S387864","S387865","S387866","S387867","S387868","S387869","S387870","S387871","S387872","S387873","S387874","S387875","S387876","S387877","S387878","S387879","S387880","S387881","S387882","S387883","S387884","S387885","S387886","S387887","S387888","S387889","S387890","S387891","S387892","S387893","S387894","S387895","S387896","S387897"
Alnus viridis,TRSH,pollen,NISP,,8,48,39,19,69,68,66,19,62,41,,26,14,20,81,96,15,21,80,103,107,65,46,6,40,67,53,30,35,36,58,3,6,74,62,42,134,101,80,205,283,137,157,96,133,86,160,150,116,59,125,43,42,54,55,62,89,47,40,68,25,27,14,3,2,3,3,3,2,10,1,4,3,,4,,4,2,,7,2,1,3,1
Amaranthaceae,UPHE,pollen,NISP,,,3,,1,2,1,3,,3,2,,,,,1,4,,,2,,1,1,3,2,3,2,5,,1,1,1,,,,2,1,,1,2,5,4,2,2,,2,3,6,8,5,2,4,1,3,3,3,2,1,1,3,5,7,2,1,11,1,8,17,17,2,14,7,14,14,4,14,5,13,10,17,19,5,20,9,15
Apiaceae,UPHE,pollen,NISP,,,,3,,,,,1,,,2,,,,,4,2,4,,1,,,,,,2,1,1,,,1,,,,,1,3,3,,1,2,,1,1,2,4,1,3,2,,2,2,3,,5,3,3,5,5,1,3,2,3,17,5,9,11,11,3,3,2,4,6,,5,,3,5,6,7,5,2,3,7
Arcella,TEAM,test,NISP,,,4,,,1,4,1,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,4,4,9,2,,5,1,2,9,,,4,5,,3,8,1,,3,1,5,3,,3,1,,,,1,,1,,1,2,3,1,3,11,12,4,5,8,,7,10,17,8,6,9,7,9,2,16,4,7,3,8,5,15,15,16,9,16,46,27,19,95,95,21,90,11,77,170,12,120,47,66,44,101,131,45,89,52,81
Assulina,TEAM,test,NISP,,,,,,1,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroideae,UPHE,pollen,NISP,,1,2,6,1,3,3,6,5,55,5,3,1,8,,6,7,7,1,10,8,12,6,7,4,3,11,3,2,10,4,4,3,3,6,1,2,1,2,3,2,2,2,4,2,6,1,6,6,3,3,5,,9,4,5,3,4,1,3,4,8,2,7,14,3,7,13,13,8,8,4,4,11,4,4,11,14,5,7,11,8,12,9,11
Betula,TRSH,pollen,NISP,,6,3,10,2,1,2,1,6,2,2,7,6,10,12,3,6,3,7,2,3,,3,5,2,4,3,1,1,1,2,2,,1,2,2,5,4,14,18,8,10,3,9,5,10,41,6,9,17,6,15,9,16,12,22,20,17,13,52,19,57,27,50,35,13,17,39,39,3,15,7,13,15,,12,3,10,14,11,19,1,5,2,8
Boraginaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Botrychium,VACR,spore,NISP,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,,,,2,,1,,,1,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,1,1,1,,1,,2,2,2
Brassicaceae,UPHE,pollen,NISP,,,,,,1,,,,1,,,,,1,3,4,2,5,7,4,4,3,3,1,,4,2,1,,1,,1,,,,,,1,,1,,,4,,2,4,1,1,1,,,1,2,1,1,2,1,,,2,,2,4,3,6,1,7,7,,,,,,,,,1,,1,1,,,,
Bupleurum,UPHE,pollen,NISP,,,1,,,1,1,2,,,,,,,,3,,,,3,3,1,,,,3,1,2,,1,,2,,,,,,,,,,1,1,1,1,1,,2,2,,1,2,1,,1,3,2,1,1,,,,,,2,,,2,2,,1,,1,,,,,1,,,,,,,
Caltha,AQVP,pollen,NISP,,,,,,1,,,,,,3,,,,,,,8,,,1,,1,3,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,1,1,1,,1,,,1,1,2,,,1,,,,,,1,,,,,,,,,,,,
