"name","group","element","units","context","S413759","S413760","S413761","S413762","S413763","S413764","S413765","S413766","S413767","S413768","S413769","S413770","S413771","S413772","S413773","S413774","S413775","S413776","S413777","S413778","S413779","S413780","S413781","S413782","S413783","S413784","S413785","S413786","S413787","S413788","S413789","S413790","S413791","S413792","S413793","S413794","S413795","S413796","S413797","S413798","S413799","S413800","S413801","S413802","S413803"
Sanguisorba,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sparganium,AQVP,pollen,NISP,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,4,1,,,1,,2,1,1,3,1
Spermatophyta,SEED,pollen,NISP,redeposited,,,1,1,1,,,,,,,,,,,,,88,,,,,,,,,,2,7,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,1,,,,,3,1,,3,2,,,1,1,,,,,1,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,
Spike,LABO,concentration,grains/tablet,,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496,12496
Spike,LABO,counted,NISP,,80,120,136,114,88,174,85,96,330,230,247,280,210,180,50,97,55,,73,45,132,88,150,26,153,90,70,140,220,110,190,320,700,200,162,170,160,126,210,92,45,100,85,500,1200
Spike tablets,LABO,quantity added,number,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thalictrum,UPHE,pollen,NISP,,1,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,3,1,9,10,4,10,8
Tilia cordata,TRSH,pollen,NISP,,4,3,2,2,1,6,6,10,11,12,6,8,10,8,7,5,6,7,7,7,11,8,6,4,10,7,4,18,11,9,17,20,17,10,8,11,14,15,10,14,7,4,1,,2
Trifolium-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2
Typha latifolia,AQVP,pollen,NISP,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,34,25,9,2,7,1,2,6,9,,1
Ulmus,TRSH,pollen,NISP,,2,1,2,,3,7,2,3,,3,1,2,5,1,1,,2,3,2,4,11,4,5,4,3,3,3,9,10,4,8,9,15,17,12,10,15,6,9,5,8,8,6,3,1
Urtica,UPHE,pollen,NISP,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Valeriana,UPHE,pollen,NISP,,,,2,,,,,1,,,,,1,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
